RA,Dec,Efficiency
0.03925,-0.03929,0.922
0.03925,-0.11783,0.977
0.03925,-0.19637,0.935
0.03925,-0.27491,0.916
0.03925,-0.35345,0.916
0.03925,-0.43199,0.915
0.03925,-0.51053,0.897
0.03925,-0.58907,0.756
0.03925,-0.66761,0.68
0.03925,-0.74615,0.644
0.03925,-0.82469,0.615
0.03925,-0.90323,0.596
0.03925,-0.98177,0.573
0.03925,-1.06031,0.56
0.03925,-1.13885,0.548
0.03925,-1.21739,0.535
0.03925,-1.29593,0.523
0.03925,-1.37447,0.284
0.03925,-1.45301,0.0
0.03925,-1.53155,0.0
0.03925,0.03925,0.929
0.03925,0.11779,0.95
0.03925,0.19633,0.697
0.03925,0.27487,0.728
0.03925,0.35341,0.658
0.03925,0.43195,0.628
0.03925,0.51049,0.614
0.03925,0.58903,0.601
0.03925,0.66757,0.585
0.03925,0.74611,0.575
0.03925,0.82465,0.568
0.03925,0.90319,0.56
0.03925,0.98173,0.547
0.03925,1.06027,0.541
0.03925,1.13881,0.536
0.03925,1.21735,0.532
0.03925,1.29589,0.526
0.03925,1.37443,0.522
0.03925,1.45297,0.348
0.03925,1.53151,0.0
0.11779,-0.03929,0.92
0.11779,-0.11783,0.933
0.11779,-0.19637,0.924
0.11779,-0.27491,0.915
0.11779,-0.35345,0.915
0.11779,-0.43199,0.914
0.11779,-0.51053,0.877
0.11779,-0.58907,0.73
0.11779,-0.66761,0.662
0.11779,-0.74615,0.623
0.11779,-0.82469,0.596
0.11779,-0.90323,0.583
0.11779,-0.98177,0.569
0.11779,-1.06031,0.552
0.11779,-1.13885,0.54
0.11779,-1.21739,0.53
0.11779,-1.29593,0.438
0.11779,-1.37447,0.206
0.11779,-1.45301,0.0
0.11779,-1.53155,0.0
0.11779,0.03925,0.926
0.11779,0.11779,0.943
0.11779,0.19633,0.763
0.11779,0.27487,0.713
0.11779,0.35341,0.645
0.11779,0.43195,0.621
0.11779,0.51049,0.605
0.11779,0.58903,0.597
0.11779,0.66757,0.582
0.11779,0.74611,0.574
0.11779,0.82465,0.566
0.11779,0.90319,0.558
0.11779,0.98173,0.547
0.11779,1.06027,0.541
0.11779,1.13881,0.536
0.11779,1.21735,0.531
0.11779,1.29589,0.527
0.11779,1.37443,0.522
0.11779,1.45297,0.346
0.11779,1.53151,0.0
0.19633,-0.03929,0.919
0.19633,-0.11783,0.977
0.19633,-0.19637,0.935
0.19633,-0.27491,0.915
0.19633,-0.35345,0.914
0.19633,-0.43199,0.914
0.19633,-0.51053,0.869
0.19633,-0.58907,0.7
0.19633,-0.66761,0.65
0.19633,-0.74615,0.614
0.19633,-0.82469,0.593
0.19633,-0.90323,0.573
0.19633,-0.98177,0.559
0.19633,-1.06031,0.546
0.19633,-1.13885,0.534
0.19633,-1.21739,0.527
0.19633,-1.29593,0.347
0.19633,-1.37447,0.0
0.19633,-1.45301,0.0
0.19633,-1.53155,0.0
0.19633,0.03925,0.925
0.19633,0.11779,0.94
0.19633,0.19633,0.695
0.19633,0.27487,0.677
0.19633,0.35341,0.638
0.19633,0.43195,0.614
0.19633,0.51049,0.605
0.19633,0.58903,0.597
0.19633,0.66757,0.579
0.19633,0.74611,0.572
0.19633,0.82465,0.566
