RA,Dec,Efficiency
0.00000, -1.57080, 0.000
0.00000, -1.55325, 0.000
0.00000, -1.53569, 0.000
0.00000, -1.51814, 0.000
0.00000, -1.50059, 0.000
0.00000, -1.48304, 0.000
0.00000, -1.46549, 0.000
0.00000, -1.44794, 0.000
0.00000, -1.43039, 0.000
0.00000, -1.41284, 0.000
0.00000, -1.39529, 0.000
0.00000, -1.37774, 0.000
0.00000, -1.36019, 0.000
0.00000, -1.34264, 0.000
0.00000, -1.32509, 0.540
0.00000, -1.30753, 0.548
0.00000, -1.28998, 0.553
0.00000, -1.27243, 0.564
0.00000, -1.25488, 0.576
0.00000, -1.23733, 0.592
0.00000, -1.21978, 0.599
0.00000, -1.20223, 0.604
0.00000, -1.18468, 0.608
0.00000, -1.16713, 0.610
0.00000, -1.14958, 0.612
0.00000, -1.13203, 0.614
0.00000, -1.11448, 0.617
0.00000, -1.09692, 0.618
0.00000, -1.07937, 0.620
0.00000, -1.06182, 0.622
0.00000, -1.04427, 0.625
0.00000, -1.02672, 0.627
0.00000, -1.00917, 0.630
0.00000, -0.99162, 0.633
0.00000, -0.97407, 0.636
0.00000, -0.95652, 0.638
0.00000, -0.93897, 0.641
0.00000, -0.92142, 0.645
0.00000, -0.90387, 0.648
0.00000, -0.88632, 0.653
0.00000, -0.86876, 0.657
0.00000, -0.85121, 0.662
0.00000, -0.83366, 0.668
0.00000, -0.81611, 0.674
0.00000, -0.79856, 0.680
0.00000, -0.78101, 0.687
0.00000, -0.76346, 0.693
0.00000, -0.74591, 0.701
0.00000, -0.72836, 0.710
0.00000, -0.71081, 0.718
0.00000, -0.69326, 0.730
0.00000, -0.67571, 0.743
0.00000, -0.65815, 0.764
0.00000, -0.64060, 0.790
0.00000, -0.62305, 0.815
0.00000, -0.60550, 0.841
0.00000, -0.58795, 0.866
0.00000, -0.57040, 0.892
0.00000, -0.55285, 0.917
0.00000, -0.53530, 0.942
0.00000, -0.51775, 0.946
0.00000, -0.50020, 0.948
0.00000, -0.48265, 0.949
0.00000, -0.46510, 0.951
0.00000, -0.44755, 0.954
0.00000, -0.42999, 0.954
0.00000, -0.41244, 0.954
0.00000, -0.39489, 0.954
0.00000, -0.37734, 0.954
0.00000, -0.35979, 0.955
0.00000, -0.34224, 0.955
0.00000, -0.32469, 0.955
0.00000, -0.30714, 0.955
0.00000, -0.28959, 0.955
0.00000, -0.27204, 0.955
0.00000, -0.25449, 0.955
0.00000, -0.23694, 0.955
0.00000, -0.21938, 0.955
0.00000, -0.20183, 0.955
0.00000, -0.18428, 0.955
0.00000, -0.16673, 0.955
0.00000, -0.14918, 0.955
0.00000, -0.13163, 0.955
0.00000, -0.11408, 0.955
0.00000, -0.09653, 0.955
0.00000, -0.07898, 0.955
0.00000, -0.06143, 0.955
0.00000, -0.04388, 0.955
0.00000, -0.02633, 0.955
0.00000, -0.00878, 0.955
0.00000,  0.00878, 0.955
0.00000,  0.02633, 0.955
0.00000,  0.04388, 0.955
0.00000,  0.06143, 0.955
0.00000,  0.07898, 0.955
0.00000,  0.09653, 0.955
0.00000,  0.11408, 0.955
0.00000,  0.13163, 0.955
0.00000,  0.14918, 0.955
0.00000,  0.16673, 0.951
0.00000,  0.18428, 0.948
0.00000,  0.20183, 0.936
0.00000,  0.21938, 0.923
0.00000,  0.23694, 0.905
0.00000,  0.25449, 0.881
0.00000,  0.27204, 0.857
0.00000,  0.28959, 0.833
0.00000,  0.30714, 0.810
0.00000,  0.32469, 0.794
0.00000,  0.34224, 0.778
0.00000,  0.35979, 0.762
0.00000,  0.37734, 0.749
0.00000,  0.39489, 0.737
0.00000,  0.41244, 0.725
0.00000,  0.42999, 0.713
0.00000,  0.44755, 0.702
0.00000,  0.46510, 0.696
0.00000,  0.48265, 0.690
0.00000,  0.50020, 0.684
0.00000,  0.51775, 0.679
0.00000,  0.53530, 0.673
0.00000,  0.55285, 0.669
0.00000,  0.57040, 0.665
0.00000,  0.58795, 0.662
0.00000,  0.60550, 0.659
0.00000,  0.62305, 0.655
0.00000,  0.64060, 0.652
0.00000,  0.65815, 0.649
0.00000,  0.67571, 0.645
0.00000,  0.69326, 0.643
0.00000,  0.71081, 0.640
0.00000,  0.72836, 0.638
0.00000,  0.74591, 0.635
0.00000,  0.76346, 0.633
0.00000,  0.78101, 0.630
0.00000,  0.79856, 0.628
0.00000,  0.81611, 0.626
0.00000,  0.83366, 0.623
0.00000,  0.85121, 0.621
0.00000,  0.86876, 0.619
0.00000,  0.88632, 0.618
0.00000,  0.90387, 0.616
0.00000,  0.92142, 0.614
0.00000,  0.93897, 0.612
0.00000,  0.95652, 0.610
0.00000,  0.97407, 0.608
0.00000,  0.99162, 0.606
0.00000,  1.00917, 0.604
0.00000,  1.02672, 0.601
0.00000,  1.04427, 0.599
0.00000,  1.06182, 0.596
0.00000,  1.07937, 0.594
0.00000,  1.09692, 0.592
0.00000,  1.11448, 0.589
0.00000,  1.13203, 0.586
0.00000,  1.14958, 0.579
0.00000,  1.16713, 0.573
0.00000,  1.18468, 0.571
0.00000,  1.20223, 0.569
0.00000,  1.21978, 0.565
0.00000,  1.23733, 0.562
0.00000,  1.25488, 0.558
0.00000,  1.27243, 0.555
0.00000,  1.28998, 0.554
0.00000,  1.30753, 0.551
0.00000,  1.32509, 0.550
0.00000,  1.34264, 0.000
0.00000,  1.36019, 0.000
0.00000,  1.37774, 0.000
0.00000,  1.39529, 0.000
0.00000,  1.41284, 0.000
0.00000,  1.43039, 0.000
0.00000,  1.44794, 0.000
0.00000,  1.46549, 0.000
0.00000,  1.48304, 0.000
0.00000,  1.50059, 0.000
0.00000,  1.51814, 0.000
0.00000,  1.53569, 0.000
0.00000,  1.55325, 0.000
0.00000,  1.57080, 0.000
0.01750, -1.57080, 0.000
0.01750, -1.55325, 0.000
0.01750, -1.53569, 0.000
0.01750, -1.51814, 0.000
0.01750, -1.50059, 0.000
0.01750, -1.48304, 0.000
0.01750, -1.46549, 0.000
0.01750, -1.44794, 0.000
0.01750, -1.43039, 0.000
0.01750, -1.41284, 0.000
0.01750, -1.39529, 0.000
0.01750, -1.37774, 0.000
0.01750, -1.36019, 0.000
0.01750, -1.34264, 0.000
0.01750, -1.32509, 0.000
0.01750, -1.30753, 0.547
0.01750, -1.28998, 0.549
0.01750, -1.27243, 0.562
0.01750, -1.25488, 0.573
0.01750, -1.23733, 0.588
0.01750, -1.21978, 0.598
0.01750, -1.20223, 0.604
0.01750, -1.18468, 0.608
0.01750, -1.16713, 0.610
0.01750, -1.14958, 0.612
0.01750, -1.13203, 0.614
0.01750, -1.11448, 0.616
0.01750, -1.09692, 0.618
0.01750, -1.07937, 0.619
0.01750, -1.06182, 0.621
0.01750, -1.04427, 0.624
0.01750, -1.02672, 0.627
0.01750, -1.00917, 0.630
0.01750, -0.99162, 0.632
0.01750, -0.97407, 0.635
0.01750, -0.95652, 0.638
0.01750, -0.93897, 0.641
0.01750, -0.92142, 0.644
0.01750, -0.90387, 0.648
0.01750, -0.88632, 0.652
0.01750, -0.86876, 0.656
0.01750, -0.85121, 0.662
0.01750, -0.83366, 0.668
0.01750, -0.81611, 0.674
0.01750, -0.79856, 0.680
0.01750, -0.78101, 0.686
0.01750, -0.76346, 0.693
0.01750, -0.74591, 0.701
0.01750, -0.72836, 0.710
0.01750, -0.71081, 0.720
0.01750, -0.69326, 0.729
0.01750, -0.67571, 0.741
0.01750, -0.65815, 0.765
0.01750, -0.64060, 0.790
0.01750, -0.62305, 0.815
0.01750, -0.60550, 0.841
0.01750, -0.58795, 0.866
0.01750, -0.57040, 0.892
0.01750, -0.55285, 0.917
0.01750, -0.53530, 0.942
0.01750, -0.51775, 0.946
0.01750, -0.50020, 0.948
0.01750, -0.48265, 0.949
0.01750, -0.46510, 0.950
0.01750, -0.44755, 0.954
0.01750, -0.42999, 0.954
0.01750, -0.41244, 0.954
0.01750, -0.39489, 0.954
0.01750, -0.37734, 0.954
0.01750, -0.35979, 0.955
0.01750, -0.34224, 0.955
0.01750, -0.32469, 0.955
0.01750, -0.30714, 0.955
0.01750, -0.28959, 0.955
0.01750, -0.27204, 0.955
0.01750, -0.25449, 0.955
0.01750, -0.23694, 0.955
0.01750, -0.21938, 0.955
0.01750, -0.20183, 0.955
0.01750, -0.18428, 0.955
0.01750, -0.16673, 0.955
0.01750, -0.14918, 0.955
0.01750, -0.13163, 0.955
0.01750, -0.11408, 0.955
0.01750, -0.09653, 0.955
0.01750, -0.07898, 0.955
0.01750, -0.06143, 0.955
0.01750, -0.04388, 0.955
0.01750, -0.02633, 0.955
0.01750, -0.00878, 0.955
0.01750,  0.00878, 0.955
