#Table2fromCHEOPS-UGE-PSO-MAN-001CHEOPSObserversManual
t_lo,t_hi,img,igt,cad_lo,cad_hi,duty_lo,duty_hi
0.00,0.10,40,4,0.0,0.0,0.0,0.0
0.10,0.15,39,3,46.8,48.8,8.3,12.0
0.15,0.20,36,3,45.0,46.8,12.0,15.4
0.20,0.40,33,3,42.9,49.5,15.4,26.7
0.40,0.50,30,3,45.0,48.0,26.7,31.3
0.50,0.55,28,2,44.8,46.2,31.3,33.3
0.55,0.65,26,2,42.9,45.5,33.3,37.1
0.65,0.85,24,2,42.0,46.8,37.1,43.6
0.85,1.05,22,2,42.9,47.3,43.6,48.8
1.05,1.10,44,4,46.2,48.4,100.0,100.0
1.10,1.20,40,4,44.0,48.0,100.0,100.0
1.20,1.25,39,3,46.8,48.8,100.0,100.0
1.25,1.30,36,3,45.0,46.8,100.0,100.0
1.30,1.50,33,3,42.9,49.5,100.0,100.0
1.50,1.60,30,3,45.0,48.0,100.0,100.0
1.60,1.65,28,2,44.8,46.2,100.0,100.0
1.65,1.75,26,2,42.9,45.5,100.0,100.0
1.75,1.95,24,2,42.0,46.8,100.0,100.0
1.95,2.15,22,2,42.9,47.3,100.0,100.0
2.15,2.40,20,2,43.0,48.0,100.0,100.0
2.40,2.70,18,2,43.2,48.6,100.0,100.0
2.70,2.80,16,2,43.2,44.8,100.0,100.0
2.80,2.90,15,1,42.0,43.5,100.0,100.0
2.90,3.05,14,1,40.6,42.7,100.0,100.0
3.05,3.20,13,1,39.7,41.6,100.0,100.0
3.20,3.40,12,1,38.4,40.8,100.0,100.0
3.40,3.65,11,1,37.4,40.2,100.0,100.0
3.65,3.90,10,1,36.5,39.0,100.0,100.0
3.90,4.25,9,1,35.1,38.3,100.0,100.0
4.25,4.70,8,1,34.0,37.6,100.0,100.0
4.70,5.25,7,1,32.9,36.8,100.0,100.0
5.25,6.05,6,1,31.5,36.3,100.0,100.0
6.05,7.25,5,1,30.3,36.3,100.0,100.0
7.25,9.20,4,1,29.0,36.8,100.0,100.0
9.20,12.50,3,1,27.6,37.5,100.0,100.0
12.50,22.65,2,1,25.0,45.3,100.0,100.0
22.65,60.00,1,0,22.65,60.0,100.0,100.0
