T_eff,log_g,Fe_H,h_1,h_2
3500.0,0.0,-5.0,0.698,0.34902
3500.0,0.5,-5.0,0.71036,0.37298
3500.0,1.0,-5.0,0.73442,0.42552
3500.0,1.5,-5.0,0.75511,0.48353
3500.0,2.0,-5.0,0.76379,0.51488
3500.0,2.5,-5.0,0.76307,0.51831
3500.0,3.0,-5.0,0.75578,0.5043
3750.0,0.0,-5.0,0.70056,0.34614
3750.0,0.5,-5.0,0.70876,0.36233
3750.0,1.0,-5.0,0.72188,0.378
3750.0,1.5,-5.0,0.75167,0.43187
3750.0,2.0,-5.0,0.78892,0.55148
3750.0,2.5,-5.0,0.81078,0.67844
3750.0,3.0,-5.0,0.81576,0.78035
4000.0,0.0,-5.0,0.69918,0.33194
4000.0,0.5,-5.0,0.70863,0.34765
4000.0,1.0,-5.0,0.72073,0.37073
4000.0,1.5,-5.0,0.73579,0.40183
4000.0,2.0,-5.0,0.76021,0.42588
4000.0,2.5,-5.0,0.80436,0.54323
4000.0,3.0,-5.0,0.83925,0.7647
4000.0,3.5,-5.0,0.85615,0.85615
4250.0,0.0,-5.0,0.6965,0.31953
4250.0,0.5,-5.0,0.7056,0.33336
4250.0,1.0,-5.0,0.71863,0.3578
4250.0,1.5,-5.0,0.73244,0.3889
4250.0,2.0,-5.0,0.74603,0.42543
4250.0,2.5,-5.0,0.77054,0.46939
4250.0,3.0,-5.0,0.80192,0.52472
4250.0,3.5,-5.0,0.83918,0.6614
4250.0,4.0,-5.0,0.86535,0.75766
4500.0,0.0,-5.0,0.69753,0.3202
4500.0,0.5,-5.0,0.70587,0.33348
4500.0,1.0,-5.0,0.71788,0.35692
4500.0,1.5,-5.0,0.7318,0.38859
4500.0,2.0,-5.0,0.74516,0.42739
4500.0,2.5,-5.0,0.75947,0.46856
4500.0,3.0,-5.0,0.77681,0.50435
4500.0,3.5,-5.0,0.80719,0.55577
4500.0,4.0,-5.0,0.84149,0.64545
4750.0,0.0,-5.0,0.70188,0.32882
4750.0,0.5,-5.0,0.70959,0.34283
4750.0,1.0,-5.0,0.71884,0.36333
4750.0,1.5,-5.0,0.73103,0.39291
4750.0,2.0,-5.0,0.74424,0.43031
4750.0,2.5,-5.0,0.75638,0.47143
4750.0,3.0,-5.0,0.76743,0.50361
4750.0,3.5,-5.0,0.77892,0.5403
4750.0,4.0,-5.0,0.80604,0.57439
4750.0,4.5,-5.0,0.8356,0.62169
5000.0,0.0,-5.0,0.70868,0.34107
5000.0,0.5,-5.0,0.71457,0.35456
5000.0,1.0,-5.0,0.72309,0.37333
5000.0,1.5,-5.0,0.73286,0.39724
5000.0,2.0,-5.0,0.74377,0.43022
5000.0,2.5,-5.0,0.75431,0.4707
5000.0,3.0,-5.0,0.76378,0.50604
5000.0,3.5,-5.0,0.7712,0.53803
5000.0,4.0,-5.0,0.78255,0.56896
5000.0,4.5,-5.0,0.80225,0.59843
5000.0,5.0,-5.0,0.82231,0.64178
5250.0,0.0,-5.0,0.71717,0.35531
5250.0,0.5,-5.0,0.72098,0.36601
5250.0,1.0,-5.0,0.72771,0.3821
5250.0,1.5,-5.0,0.73594,0.4035
5250.0,2.0,-5.0,0.74481,0.43237
5250.0,2.5,-5.0,0.75319,0.46486
5250.0,3.0,-5.0,0.76117,0.50055
5250.0,3.5,-5.0,0.76959,0.52906
5250.0,4.0,-5.0,0.7748,0.55176
5250.0,4.5,-5.0,0.78828,0.57595
5250.0,5.0,-5.0,0.80891,0.59768
5500.0,0.0,-5.0,0.72808,0.37499
5500.0,0.5,-5.0,0.73017,0.37963
5500.0,1.0,-5.0,0.73432,0.39117
5500.0,1.5,-5.0,0.74035,0.40767
5500.0,2.0,-5.0,0.74708,0.43291
5500.0,2.5,-5.0,0.75428,0.46296
5500.0,3.0,-5.0,0.76121,0.49437
5500.0,3.5,-5.0,0.76738,0.52535
5500.0,4.0,-5.0,0.77461,0.54524
5500.0,4.5,-5.0,0.78364,0.55637
5500.0,5.0,-5.0,0.79603,0.5822
5750.0,0.0,-5.0,0.69175,0.34233
5750.0,0.5,-5.0,0.73861,0.40984
5750.0,1.0,-5.0,0.74265,0.4039
5750.0,1.5,-5.0,0.74584,0.41563
5750.0,2.0,-5.0,0.75071,0.43467
5750.0,2.5,-5.0,0.75647,0.46026
5750.0,3.0,-5.0,0.76188,0.48842
5750.0,3.5,-5.0,0.76783,0.51832
5750.0,4.0,-5.0,0.77306,0.54108
5750.0,4.5,-5.0,0.78054,0.5575
5750.0,5.0,-5.0,0.79014,0.57786
6000.0,0.0,-5.0,0.69852,0.35904
6000.0,0.5,-5.0,0.6991,0.3628
6000.0,1.0,-5.0,0.74127,0.40883
6000.0,1.5,-5.0,0.75263,0.4278
6000.0,2.0,-5.0,0.75577,0.43972
6000.0,2.5,-5.0,0.75965,0.45925
6000.0,3.0,-5.0,0.76402,0.48263
6000.0,3.5,-5.0,0.76909,0.51094
6000.0,4.0,-5.0,0.77266,0.5347
6000.0,4.5,-5.0,0.77832,0.55144
6000.0,5.0,-5.0,0.78632,0.57294
6250.0,0.5,-5.0,0.70658,0.3808
6250.0,1.0,-5.0,0.70749,0.38133
6250.0,1.5,-5.0,0.7523,0.43213
6250.0,2.0,-5.0,0.7616,0.45529
6250.0,2.5,-5.0,0.76411,0.46694
6250.0,3.0,-5.0,0.76734,0.4847
6250.0,3.5,-5.0,0.77096,0.50766
6250.0,4.0,-5.0,0.77472,0.5296
6250.0,4.5,-5.0,0.77992,0.5474
6250.0,5.0,-5.0,0.78443,0.56352
6500.0,0.5,-5.0,0.71195,0.38794
6500.0,1.0,-5.0,0.71534,0.39955
6500.0,1.5,-5.0,0.71674,0.39866
6500.0,2.0,-5.0,0.76329,0.45347
6500.0,2.5,-5.0,0.77111,0.47822
6500.0,3.0,-5.0,0.77213,0.48739
6500.0,3.5,-5.0,0.7744,0.5057
6500.0,4.0,-5.0,0.77719,0.52496
6500.0,4.5,-5.0,0.78043,0.54157
6500.0,5.0,-5.0,0.78543,0.55852
6750.0,0.5,-5.0,0.72048,0.40667
6750.0,1.0,-5.0,0.72158,0.40603
6750.0,1.5,-5.0,0.72536,0.41703
6750.0,2.0,-5.0,0.72659,0.41378
6750.0,2.5,-5.0,0.77328,0.47419
6750.0,3.0,-5.0,0.77875,0.50254
6750.0,3.5,-5.0,0.77924,0.51102
6750.0,4.0,-5.0,0.78094,0.52463
6750.0,4.5,-5.0,0.78291,0.53819
6750.0,5.0,-5.0,0.78645,0.55445
7000.0,0.5,-5.0,0.7318,0.43379
7000.0,1.0,-5.0,0.73115,0.42413
7000.0,1.5,-5.0,0.73198,0.42111
7000.0,2.0,-5.0,0.73538,0.43214
7000.0,2.5,-5.0,0.73652,0.42892
7000.0,3.0,-5.0,0.78188,0.5004
7000.0,3.5,-5.0,0.78519,0.52262
7000.0,4.0,-5.0,0.78567,0.52996
7000.0,4.5,-5.0,0.78656,0.53908
7000.0,5.0,-5.0,0.78928,0.55286
7250.0,1.0,-5.0,0.74345,0.45036
7250.0,1.5,-5.0,0.74216,0.43712
7250.0,2.0,-5.0,0.74281,0.43449
7250.0,2.5,-5.0,0.7453,0.44715
7250.0,3.0,-5.0,0.74594,0.44285
7250.0,3.5,-5.0,0.78987,0.52354
7250.0,4.0,-5.0,0.79158,0.53972
7250.0,4.5,-5.0,0.79152,0.54601
7250.0,5.0,-5.0,0.79295,0.55513
7500.0,1.0,-5.0,0.75532,0.46921
7500.0,1.5,-5.0,0.75487,0.4612
7500.0,2.0,-5.0,0.75322,0.44677
7500.0,2.5,-5.0,0.75328,0.44663
7500.0,3.0,-5.0,0.75512,0.46125
7500.0,3.5,-5.0,0.75538,0.45802
7500.0,4.0,-5.0,0.79504,0.55598
7500.0,4.5,-5.0,0.79679,0.55838
7500.0,5.0,-5.0,0.79776,0.56356
7750.0,1.5,-5.0,0.76698,0.47847
7750.0,2.0,-5.0,0.76591,0.46854
7750.0,2.5,-5.0,0.76369,0.45403
7750.0,3.0,-5.0,0.76336,0.45916
