T_eff,log_g,h_1,h_2
2300.0,2.5,0.63954,0.63954
2300.0,3.0,0.6409,0.6409
2300.0,3.5,0.63614,0.63614
2300.0,4.0,0.63047,0.63047
2300.0,4.5,0.63791,0.63791
2300.0,5.0,0.64493,0.6203
2300.0,5.5,0.67088,0.60258
2300.0,6.0,0.68267,0.60357
2400.0,2.5,0.65774,0.65774
2400.0,3.0,0.66232,0.66232
2400.0,3.5,0.65244,0.65244
2400.0,4.0,0.64044,0.64044
2400.0,4.5,0.63792,0.63792
2400.0,5.0,0.64515,0.64515
2400.0,5.5,0.65553,0.65329
2400.0,6.0,0.6714,0.62959
2500.0,2.5,0.674,0.674
2500.0,3.0,0.68507,0.68507
2500.0,3.5,0.67703,0.67703
2500.0,4.0,0.66297,0.66297
2500.0,4.5,0.64886,0.64886
2500.0,5.0,0.63942,0.63942
2500.0,5.5,0.65141,0.65141
2500.0,6.0,0.66725,0.66725
2600.0,2.5,0.68121,0.68121
2600.0,3.0,0.70271,0.70271
2600.0,3.5,0.70022,0.70022
2600.0,4.0,0.68898,0.68898
2600.0,4.5,0.67199,0.67199
2600.0,5.0,0.65882,0.65882
2600.0,5.5,0.65138,0.65138
2600.0,6.0,0.64794,0.6475
2700.0,2.5,0.68103,0.68103
2700.0,3.0,0.71224,0.71224
2700.0,3.5,0.71884,0.71884
2700.0,4.0,0.71174,0.71174
2700.0,4.5,0.69774,0.69774
2700.0,5.0,0.67983,0.67983
2700.0,5.5,0.66643,0.66643
2700.0,6.0,0.65855,0.65855
2800.0,2.5,0.67261,0.67261
2800.0,3.0,0.71379,0.71379
2800.0,3.5,0.73019,0.73019
2800.0,4.0,0.73024,0.73024
2800.0,4.5,0.71998,0.71998
2800.0,5.0,0.7033,0.7033
2800.0,5.5,0.68857,0.68857
2900.0,2.5,0.65994,0.65994
2900.0,3.0,0.71006,0.71006
2900.0,3.5,0.73505,0.73505
2900.0,4.0,0.74277,0.74277
2900.0,4.5,0.73793,0.73793
2900.0,5.0,0.72572,0.72572
2900.0,5.5,0.70781,0.70781
2900.0,6.0,0.68698,0.68698
3000.0,2.5,0.64108,0.64108
3000.0,3.0,0.70213,0.70213
3000.0,3.5,0.73459,0.73459
3000.0,4.0,0.74936,0.74936
3000.0,4.5,0.7503,0.7503
3000.0,5.5,0.72823,0.72823
3000.0,6.0,0.709,0.709
3100.0,2.5,0.61236,0.61236
3100.0,3.0,0.6895,0.6895
3100.0,3.5,0.72805,0.72805
3100.0,4.0,0.74996,0.74996
3100.0,4.5,0.75773,0.75773
3100.0,5.0,0.75586,0.75586
3100.0,5.5,0.74495,0.74495
3100.0,6.0,0.72753,0.71473
3200.0,2.5,0.62177,0.62177
3200.0,3.0,0.67101,0.67101
3200.0,3.5,0.71728,0.71728
3200.0,4.0,0.7461,0.7461
3200.0,4.5,0.76108,0.76108
3200.0,5.0,0.76478,0.76478
3200.0,5.5,0.75851,0.74498
3200.0,6.0,0.74479,0.72321
3300.0,2.5,0.62262,0.62262
3300.0,3.0,0.65905,0.65905
3300.0,3.5,0.70576,0.70576
3300.0,4.0,0.73985,0.73985
3300.0,4.5,0.76038,0.76038
3300.0,5.0,0.77051,0.75626
3300.0,5.5,0.77028,0.74447
3300.0,6.0,0.76102,0.73938
3400.0,2.5,0.62295,0.62295
3400.0,3.0,0.66013,0.66013
3400.0,3.5,0.69748,0.69748
3400.0,4.0,0.73379,0.73379
3400.0,4.5,0.75881,0.75363
3400.0,5.0,0.77358,0.74307
3400.0,5.5,0.77875,0.75132
3400.0,6.0,0.77542,0.76563
3500.0,2.5,0.61867,0.61867
3500.0,3.0,0.6479,0.62909
